Client 2 | Algorithm: fedprox | Round: 0 | Original Size: 17911265 bytes | Delta RLE Size: 18155 bytes | Reduction: 99.90%
Client 0 | Algorithm: fedprox | Round: 0 | Original Size: 17909991 bytes | Delta RLE Size: 15084 bytes | Reduction: 99.92%
Client 1 | Algorithm: fedprox | Round: 1 | Original Size: 17913479 bytes | Delta RLE Size: 108037 bytes | Reduction: 99.40%
Client 2 | Algorithm: fedprox | Round: 1 | Original Size: 17912608 bytes | Delta RLE Size: 48776 bytes | Reduction: 99.73%
Client 0 | Algorithm: fedprox | Round: 2 | Original Size: 17917989 bytes | Delta RLE Size: 21364 bytes | Reduction: 99.88%
Client 2 | Algorithm: fedprox | Round: 2 | Original Size: 17917921 bytes | Delta RLE Size: 22201 bytes | Reduction: 99.88%
Client 1 | Algorithm: fedavg | Round: 0 | Original Size: 17919038 bytes | Delta RLE Size: 24256 bytes | Reduction: 99.86%
Client 2 | Algorithm: fedavg | Round: 0 | Original Size: 17914582 bytes | Delta RLE Size: 11915 bytes | Reduction: 99.93%
Client 2 | Algorithm: fedavg | Round: 1 | Original Size: 17919399 bytes | Delta RLE Size: 15202 bytes | Reduction: 99.92%
Client 0 | Algorithm: fedavg | Round: 1 | Original Size: 17918154 bytes | Delta RLE Size: 16750 bytes | Reduction: 99.91%
Client 2 | Algorithm: fedavg | Round: 2 | Original Size: 17930428 bytes | Delta RLE Size: 12379 bytes | Reduction: 99.93%
Client 0 | Algorithm: fedavg | Round: 2 | Original Size: 17929527 bytes | Delta RLE Size: 12347 bytes | Reduction: 99.93%
Client 1 | Algorithm: flips | Round: 0 | Original Size: 14362174 bytes | Delta RLE Size: 15897 bytes | Reduction: 99.89%
Client 0 | Algorithm: flips | Round: 0 | Original Size: 14361211 bytes | Delta RLE Size: 9625 bytes | Reduction: 99.93%
Client 1 | Algorithm: flips | Round: 1 | Original Size: 13782416 bytes | Delta RLE Size: 14086 bytes | Reduction: 99.90%
Client 0 | Algorithm: flips | Round: 1 | Original Size: 13838308 bytes | Delta RLE Size: 12270 bytes | Reduction: 99.91%
Client 1 | Algorithm: flips | Round: 2 | Original Size: 13556981 bytes | Delta RLE Size: 12051 bytes | Reduction: 99.91%
Client 0 | Algorithm: flips | Round: 2 | Original Size: 13566684 bytes | Delta RLE Size: 10949 bytes | Reduction: 99.92%
Client 2 | Algorithm: fedavg | Round: 0 | Original Size: 17914812 bytes | Delta RLE Size: 12172 bytes | Reduction: 99.93%
Client 0 | Algorithm: fedavg | Round: 0 | Original Size: 17912919 bytes | Delta RLE Size: 12062 bytes | Reduction: 99.93%
Client 2 | Algorithm: fedbuff | Round: 0 | Original Size: 14412827 bytes | Delta RLE Size: 17035 bytes | Reduction: 99.88%
Client 0 | Algorithm: fedbuff | Round: 0 | Original Size: 14363380 bytes | Delta RLE Size: 12621 bytes | Reduction: 99.91%
Client 1 | Algorithm: fedbuff | Round: 1 | Original Size: 13742966 bytes | Delta RLE Size: 52608 bytes | Reduction: 99.62%
Client 2 | Algorithm: fedbuff | Round: 1 | Original Size: 13777201 bytes | Delta RLE Size: 18619 bytes | Reduction: 99.86%
Client 0 | Algorithm: fedbuff | Round: 2 | Original Size: 13496531 bytes | Delta RLE Size: 9408 bytes | Reduction: 99.93%
Client 2 | Algorithm: fedbuff | Round: 2 | Original Size: 13498937 bytes | Delta RLE Size: 9353 bytes | Reduction: 99.93%
Client 0 | Algorithm: fedavg | Round: 0 | Original Size: 17997168 bytes | Delta RLE Size: 22857 bytes | Reduction: 99.87%
Client 1 | Algorithm: fedavg | Round: 1 | Original Size: 17999110 bytes | Delta RLE Size: 31802 bytes | Reduction: 99.82%
