algorithm,round,client_id,original_size_bytes,delta_size_bytes,reduction_percent
flips,0,1,1037034,520823,49.77763506307411
flips,0,0,1043237,444747,57.368555754828485
flips,0,3,1046645,449512,57.052104581782736
flips,0,2,1046900,445193,57.47511701213106
flips,0,4,1047293,424588,59.4585278427336
flips,1,3,975276,386931,60.32600002460842
flips,1,0,1028904,309377,69.9314027353378
flips,1,1,1028138,385075,62.54637023434597
flips,1,2,1031383,302634,70.65745702614838
flips,1,4,1028194,318155,69.05690949373367
flips,2,3,976993,308945,68.37797200184647
flips,2,0,982006,368819,62.442286503341116
flips,2,1,978610,334263,65.84308355729046
flips,2,2,979606,326887,66.63076788014773
flips,2,4,980015,321124,67.23274643755452
fedavg,0,3,1163622,334991,71.2113555776704
fedavg,0,4,1163310,302707,73.97881905940807
fedavg,0,0,1163529,347116,70.16696618648955
fedavg,0,2,1163241,320601,72.43898727778681
fedavg,0,1,1163156,335806,71.12975387652214
fedavg,1,3,1164104,353089,69.66860349247146
fedavg,1,0,1164605,369047,68.31140171989645
fedavg,1,2,1164133,311237,73.26448094848269
fedavg,1,4,1164075,356289,69.39295148508474
fedavg,1,1,1163818,384568,66.95634540795898
fedavg,2,4,1165135,429713,63.11903770807674
fedavg,2,3,1165268,457233,60.761558714390176
fedavg,2,1,1164620,418668,64.05110679878415
fedavg,2,2,1164963,385556,66.90401326050699
fedavg,2,0,1165335,493484,57.65303539325601
fedbuff,0,3,1045929,437117,58.20777509754487
fedbuff,0,2,1043606,410821,60.6344731632436
fedbuff,0,1,1043492,532164,49.001621478650534
fedbuff,0,4,1047873,424178,59.52009451527045
fedbuff,0,0,1045194,403308,61.41309651605348
fedbuff,1,2,1034619,383271,62.9553487805656
fedbuff,1,4,1029836,378174,63.27823070857884
fedbuff,1,0,1029982,407136,60.47154222112619
fedbuff,1,3,1032047,415467,59.74340315896466
fedbuff,1,1,1029743,421141,59.10231970501377
fedbuff,2,1,1021394,403770,60.46873194868974
fedbuff,2,2,1021130,414990,59.35972892775651
fedbuff,2,0,1021868,427768,58.138624558162114
fedbuff,2,4,1021923,414584,59.43099431170451
fedbuff,2,3,1027655,402646,60.81895188560363
fedprox,0,0,1163692,373286,67.92226809155687
fedprox,0,1,1163174,356261,69.37165032918548
fedprox,0,4,1163341,366503,68.49565174785381
fedprox,0,3,1163675,391659,66.34292220766108
fedprox,0,2,1163317,375789,67.69676708928006
fedprox,1,3,1164434,451981,61.18448963187265
fedprox,1,4,1164112,457491,60.7004308863752
fedprox,1,2,1164037,426458,63.36387932685989
fedprox,1,1,1163687,481857,58.59221594810289
fedprox,1,0,1164304,376756,67.64109717049843
fedprox,2,4,1165298,423973,63.61677442165008
fedprox,2,1,1164624,439314,62.278469274203516
fedprox,2,2,1165020,413195,64.53322689739231
fedprox,2,3,1165452,429869,63.115683872008454
fedprox,2,0,1165401,400923,65.59785001042559
fedlama,0,0,1163964,361119,68.97507139396065
fedlama,0,3,1163814,347599,70.13277035677523
fedlama,0,2,1163688,349760,69.94383374237768
fedlama,0,4,1163539,380437,67.303459531653
fedlama,0,1,1163200,362143,68.86666093535075
fedlama,1,2,1164355,393493,66.20506632427396
fedlama,1,1,1163802,438508,62.32108210846863
fedlama,1,0,1164668,334802,71.2534387482098
fedlama,1,4,1164100,422231,63.728975173954126
fedlama,1,3,1164408,351326,69.82792972909839
fedlama,2,3,1164408,351326,69.82792972909839
fedlama,2,2,1164355,393493,66.20506632427396
fedlama,2,4,1164100,422231,63.728975173954126
fedlama,2,0,1164668,334802,71.2534387482098
fedlama,2,1,1163802,438508,62.32108210846863
