algorithm,round,client_id,standard_size_bytes,delta_size_bytes,reduction_percent
fedprox,0,2,17911265,18155,99.89863920834179
fedprox,0,0,17909991,15084,99.91577885215017
fedprox,1,1,17913479,108037,99.3968954885871
fedprox,1,2,17912608,48776,99.72770017632273
fedprox,2,0,17917989,21364,99.88076786965323
fedprox,2,2,17917921,22201,99.87609611628491
fedavg,0,1,17919038,24256,99.86463559037043
fedavg,0,2,17914582,11915,99.93348993574061
fedavg,1,2,17919399,15202,99.91516456550804
fedavg,1,0,17918154,16750,99.90651938810214
fedavg,2,2,17930428,12379,99.93096093411712
fedavg,2,0,17929527,12347,99.93113594128835
flips,0,1,14362174,15897,99.88931341452903
flips,0,0,14361211,9625,99.93297918956834
flips,1,1,13782416,14086,99.8977973092671
flips,1,0,13838308,12270,99.91133309072178
flips,2,1,13556981,12051,99.91110852777621
flips,2,0,13566684,10949,99.91929494340695
fedavg,0,2,17914812,12172,99.93205622252692
fedavg,0,0,17912919,12062,99.9326631243071
fedbuff,0,2,14412827,17035,99.88180667123807
fedbuff,0,0,14363380,12621,99.91213071018103
fedbuff,1,1,13742966,52608,99.61720053735125
fedbuff,1,2,13777201,18619,99.86485643927239
fedbuff,2,0,13496531,9408,99.930293199045
fedbuff,2,2,13498937,9353,99.93071306281377
fedavg,0,0,17997168,22857,99.87299668481174
fedavg,1,1,17999110,31802,99.8233134860557
